,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team,Playing Time
,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
0,Antonio Sivera,es ESP,GK,27-169,22.0,22,1980.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves,
1,Andoni Gorosabel,es ESP,DF,27-176,22.0,21,1867.0,20.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,0.8,1.2,43.0,80.0,78.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,Matches,Alaves,
2,Ander Guevara,es ESP,MF,26-204,21.0,21,1839.0,20.4,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.6,0.6,0.7,1.3,41.0,130.0,25.0,0.05,0.0,0.05,0.05,0.05,0.03,0.04,0.07,0.03,0.07,Matches,Alaves,
3,Luis Rioja,es ESP,"FW,MF",30-103,22.0,21,1741.0,19.3,4.0,3.0,7.0,1.0,3.0,3.0,3.0,0.0,4.6,2.3,2.9,5.2,55.0,55.0,129.0,0.21,0.16,0.36,0.05,0.21,0.24,0.15,0.39,0.12,0.27,Matches,Alaves,
4,Jon Guridi,es ESP,"MF,FW",28-333,21.0,20,1577.0,17.5,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,1.6,1.6,2.3,3.9,19.0,83.0,57.0,0.0,0.23,0.23,0.0,0.23,0.09,0.13,0.22,0.09,0.22,Matches,Alaves,
5,Antonio Blanco,es ESP,MF,23-188,20.0,16,1335.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.7,0.6,1.3,12.0,73.0,12.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.08,0.05,0.08,Matches,Alaves,
6,Rafa Marín,es ESP,DF,21-253,19.0,15,1357.0,15.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.2,0.5,7.0,42.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,Alaves,
7,Abdel Abqar,ma MAR,DF,24-323,14.0,14,1254.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,0.0,0.3,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Alaves,
8,Rubén Duarte,es ESP,DF,28-101,18.0,14,1174.0,13.0,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.6,0.6,1.1,1.7,11.0,47.0,27.0,0.15,0.0,0.15,0.15,0.15,0.05,0.08,0.13,0.05,0.13,Matches,Alaves,
